,technique,topic,dialog length,average input size,average response time,average total score,mirroring,specificity,response-relatedness,question-asking
59,embed,input_22,9,94.11111111111111,1.9768359926011827,11.333333333333334,3.111111111111111,3.3333333333333335,4.333333333333333,0.5555555555555556
60,all,input_23,7,85.14285714285714,2.735675641468593,13.142857142857142,3.857142857142857,4.285714285714286,5.0,0.0
61,queue,input_23,7,85.14285714285714,2.4061105251312256,13.714285714285714,4.142857142857143,4.571428571428571,5.0,0.0
62,block,input_23,7,85.14285714285714,2.5341528483799527,13.142857142857142,4.0,4.142857142857143,5.0,0.0
63,embed,input_23,7,85.14285714285714,2.722412722451346,12.714285714285714,3.5714285714285716,4.142857142857143,5.0,0.0
64,all,input_24,5,73.4,1.6680831909179688,8.8,2.2,2.6,4.0,0.0
65,queue,input_24,5,73.4,1.4468942165374756,10.0,2.2,3.2,4.6,0.0
66,block,input_24,5,73.4,1.6265126705169677,11.0,2.2,4.0,4.8,0.0
67,embed,input_24,5,73.4,2.5866435527801515,11.4,2.8,3.6,5.0,0.0
68,all,input_25,9,59.666666666666664,1.253994756274753,11.444444444444445,3.2222222222222223,3.2222222222222223,4.444444444444445,0.5555555555555556
69,queue,input_25,9,59.666666666666664,1.0791124237908258,11.11111111111111,2.888888888888889,3.111111111111111,4.555555555555555,0.5555555555555556
70,block,input_25,9,59.666666666666664,2.1349554856618247,11.777777777777779,3.2222222222222223,3.6666666666666665,4.888888888888889,0.0
71,embed,input_25,9,59.666666666666664,2.2478949228922525,9.11111111111111,2.4444444444444446,2.5555555555555554,3.7777777777777777,0.3333333333333333
72,all,input_26,7,104.42857142857143,1.752070461000715,14.285714285714286,4.0,4.571428571428571,5.0,0.7142857142857143
73,queue,input_26,7,104.42857142857143,1.9371339593614851,14.571428571428571,4.285714285714286,4.571428571428571,5.0,0.7142857142857143
74,block,input_26,7,104.42857142857143,1.4935479164123535,14.714285714285714,4.0,4.428571428571429,5.0,1.2857142857142858
75,embed,input_26,7,104.42857142857143,2.5207151685442244,12.142857142857142,3.2857142857142856,3.7142857142857144,4.714285714285714,0.42857142857142855
76,all,input_27,4,143.75,1.0696521401405334,12.25,3.25,4.0,5.0,0.0
77,queue,input_27,4,143.75,0.8726133704185486,12.5,3.5,4.0,5.0,0.0
78,block,input_27,4,143.75,1.236900269985199,12.5,2.75,3.5,5.0,1.25
79,embed,input_27,4,143.75,2.1335638761520386,11.75,3.25,3.75,4.75,0.0
80,all,input_28,6,80.83333333333333,2.6564215819040933,11.0,2.6666666666666665,3.6666666666666665,4.666666666666667,0.0
81,queue,input_28,6,80.83333333333333,2.996670683224996,13.166666666666666,4.0,4.166666666666667,5.0,0.0
82,block,input_28,6,80.83333333333333,2.713120381037394,13.5,4.0,4.5,5.0,0.0
83,embed,input_28,6,80.83333333333333,2.7490257819493613,13.666666666666666,4.333333333333333,4.5,4.833333333333333,0.0
84,all,input_29,4,109.75,1.114349126815796,12.5,3.5,3.75,5.0,0.25
85,queue,input_29,4,109.75,1.1286858320236206,12.75,3.5,3.75,4.75,0.75
86,block,input_29,4,109.75,3.48853999376297,12.5,3.5,4.0,5.0,0.0
87,embed,input_29,4,109.75,2.476119577884674,12.25,3.25,3.75,4.75,0.5
88,all,input_3,8,60.25,1.1730034351348877,11.5,3.25,3.5,4.75,0.0
89,queue,input_3,8,60.25,2.6566730737686157,10.25,2.75,3.125,4.375,0.0
90,block,input_3,8,60.25,1.6068834066390991,11.625,2.75,3.25,5.0,0.625
91,embed,input_3,8,60.25,2.0014829337596893,11.0,3.125,3.375,4.5,0.0
92,all,input_30,6,75.33333333333333,1.2167216539382935,11.833333333333334,3.5,3.6666666666666665,4.666666666666667,0.0
93,queue,input_30,6,75.33333333333333,1.6240291595458984,11.666666666666666,3.3333333333333335,3.6666666666666665,4.666666666666667,0.0
94,block,input_30,6,75.33333333333333,1.1349393924077351,12.333333333333334,3.6666666666666665,3.8333333333333335,4.833333333333333,0.0
95,embed,input_30,6,75.33333333333333,1.8293145895004272,12.166666666666666,3.5,3.8333333333333335,4.833333333333333,0.0
96,all,input_4,12,61.666666666666664,1.6254155834515889,10.833333333333334,2.5833333333333335,3.3333333333333335,4.916666666666667,0.0
97,queue,input_4,12,61.666666666666664,1.528157114982605,11.75,2.5,4.333333333333333,4.916666666666667,0.0
98,block,input_4,12,61.666666666666664,1.277753969033559,10.083333333333334,2.0833333333333335,3.25,4.333333333333333,0.4166666666666667
99,embed,input_4,12,61.666666666666664,2.152868707974752,12.666666666666666,2.8333333333333335,3.6666666666666665,4.916666666666667,1.25
100,all,input_5,8,53.25,1.3212435245513916,13.5,3.625,4.25,5.0,0.625
101,queue,input_5,8,53.25,1.1151379346847534,13.375,3.375,4.375,5.0,0.625
102,block,input_5,8,53.25,1.7587481439113617,12.625,3.0,4.0,5.0,0.625
103,embed,input_5,8,53.25,2.183705687522888,10.875,2.625,3.125,4.5,0.625
104,all,input_6,11,59.63636363636363,3.4101886966011743,11.0,2.6363636363636362,3.8181818181818183,4.545454545454546,0.0
105,queue,input_6,11,59.63636363636363,3.0498869635842065,12.363636363636363,2.8181818181818183,4.090909090909091,5.0,0.45454545454545453
106,block,input_6,11,59.63636363636363,2.0957090854644775,11.272727272727273,2.090909090909091,4.181818181818182,4.545454545454546,0.45454545454545453
107,embed,input_6,11,59.63636363636363,2.0839473550969903,9.454545454545455,2.5454545454545454,2.8181818181818183,4.090909090909091,0.0
108,all,input_7,8,78.125,1.981273353099823,12.75,3.75,4.125,4.875,0.0
109,queue,input_7,8,78.125,1.6139661967754364,12.625,3.75,4.125,4.75,0.0
110,block,input_7,8,78.125,1.7973464131355286,12.625,3.625,4.125,4.875,0.0
111,embed,input_7,8,78.125,2.8111200630664825,12.75,3.875,3.875,5.0,0.0
112,all,input_8,5,86.6,1.064978790283203,12.2,3.4,3.8,5.0,0.0
113,queue,input_8,5,86.6,0.9648185253143311,12.2,3.4,3.8,5.0,0.0
114,block,input_8,5,86.6,1.7841836929321289,13.8,4.4,4.4,5.0,0.0
115,embed,input_8,5,86.6,2.4517349720001222,11.6,3.0,3.6,5.0,0.0
116,all,input_9,9,87.88888888888889,3.3459317684173584,13.88888888888889,4.222222222222222,4.666666666666667,5.0,0.0
117,queue,input_9,9,87.88888888888889,1.3893811172909207,12.222222222222221,3.6666666666666665,4.0,4.555555555555555,0.0
118,block,input_9,9,87.88888888888889,1.945382833480835,13.666666666666666,3.7777777777777777,4.333333333333333,4.888888888888889,0.6666666666666666
119,embed,input_9,9,87.88888888888889,2.3303436438242593,11.555555555555555,2.6666666666666665,3.5555555555555554,4.444444444444445,0.8888888888888888
